Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_mulieris__UMB0007B__GCA_026184155.1,Lactobacillus_mulieris__UMB7783B__GCA_030228195.1
group_425,,hypothetical protein,2,2,1.0,37,27,,,,1002,1002,1002.0,OCAFGGHM_01175,GPENAHNM_01151
potC,potC,Spermidine/putrescine transport system permease protein PotC,2,2,1.0,37,26,,,,810,810,810.0,OCAFGGHM_01156,GPENAHNM_01170
group_424,,hypothetical protein,2,2,1.0,37,25,,,,432,432,432.0,OCAFGGHM_01177,GPENAHNM_01149
group_423,,putative transcriptional regulatory protein,2,2,1.0,37,24,,,,729,729,729.0,OCAFGGHM_01170,GPENAHNM_01156
group_422,,Putative phosphatase,2,2,1.0,37,23,,,,810,810,810.0,OCAFGGHM_01161,GPENAHNM_01165
fimA,fimA,Metal ABC transporter substrate-binding lipoprotein FimA,2,2,1.0,37,22,,,,879,879,879.0,OCAFGGHM_01172,GPENAHNM_01154
potB,potB,Spermidine/putrescine transport system permease protein PotB,2,2,1.0,37,21,,,,813,813,813.0,OCAFGGHM_01155,GPENAHNM_01171
pta,pta,Phosphate acetyltransferase,2,2,1.0,37,20,,,,333,978,655.5,OCAFGGHM_01150,GPENAHNM_01177
comGC,comGC,Competence protein ComGC,2,2,1.0,37,19,,,,330,330,330.0,OCAFGGHM_01176,GPENAHNM_01150
potD,potD,Spermidine/putrescine-binding periplasmic protein,2,2,1.0,37,18,,,,1074,1074,1074.0,OCAFGGHM_01157,GPENAHNM_01169
fluC1,fluC1,Fluoride-specific ion channel FluC 1,2,2,1.0,37,17,,,,384,384,384.0,OCAFGGHM_01166,GPENAHNM_01160
copA,copA,Copper-exporting P-type ATPase,2,2,1.0,37,16,,,,1908,1908,1908.0,OCAFGGHM_01165,GPENAHNM_01161
group_421,,hypothetical protein,2,2,1.0,37,15,,,,492,492,492.0,OCAFGGHM_01179,GPENAHNM_01147
yfkJ,yfkJ,Low molecular weight protein-tyrosine-phosphatase YfkJ,2,2,1.0,37,14,,,,468,468,468.0,OCAFGGHM_01169,GPENAHNM_01157
fluC2,fluC2,Fluoride-specific ion channel FluC 2,2,2,1.0,37,13,,,,336,336,336.0,OCAFGGHM_01167,GPENAHNM_01159
group_420,,hypothetical protein,2,2,1.0,37,12,,,,369,369,369.0,OCAFGGHM_01164,GPENAHNM_01162
glmM,glmM,Phosphoglucosamine mutase,2,2,1.0,37,11,,,,1353,1353,1353.0,OCAFGGHM_01160,GPENAHNM_01166
cdaR,cdaR,CdaA regulatory protein CdaR,2,2,1.0,37,10,,,,969,969,969.0,OCAFGGHM_01159,GPENAHNM_01167
group_419,,hypothetical protein,2,2,1.0,37,9,,,,213,213,213.0,OCAFGGHM_01178,GPENAHNM_01148
group_418,,Putative phosphatase,2,2,1.0,37,8,,,,834,834,834.0,OCAFGGHM_01162,GPENAHNM_01164
dacA_1,dacA_1,Diadenylate cyclase,2,2,1.0,37,7,,,,843,843,843.0,OCAFGGHM_01158,GPENAHNM_01168
tsaE,tsaE,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,2,2,1.0,37,6,,,,477,477,477.0,OCAFGGHM_01151,GPENAHNM_01176
group_417,,hypothetical protein,2,2,1.0,37,5,,,,708,708,708.0,OCAFGGHM_01168,GPENAHNM_01158
comGA,comGA,Competence protein ComGA,2,2,1.0,37,4,,,,984,984,984.0,OCAFGGHM_01174,GPENAHNM_01152
copY,copY,Transcriptional repressor CopY,2,2,1.0,37,3,,,,441,444,442.5,OCAFGGHM_01163,GPENAHNM_01163
murB,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,2,2,1.0,37,2,,,,912,912,912.0,OCAFGGHM_01153,GPENAHNM_01174
group_416,,hypothetical protein,2,2,1.0,37,1,,,,516,522,519.0,OCAFGGHM_01171,GPENAHNM_01155
udk,udk,Uridine kinase,2,2,1.0,36,36,,,,636,636,636.0,OCAFGGHM_01131,GPENAHNM_00426
guaB,guaB,Inosine-5'-monophosphate dehydrogenase,2,2,1.0,36,35,,,,1140,1140,1140.0,OCAFGGHM_01146,GPENAHNM_00410
pyrP,pyrP,Uracil permease,2,2,1.0,36,34,,,,1263,1263,1263.0,OCAFGGHM_01143,GPENAHNM_00413
gltT,gltT,Proton/sodium-glutamate symport protein,2,2,1.0,36,33,,,,1266,1266,1266.0,OCAFGGHM_01144,GPENAHNM_00412
arnT,arnT,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,2,2,1.0,36,32,,,,2244,2244,2244.0,OCAFGGHM_01133,GPENAHNM_00424
group_415,,hypothetical protein,2,2,1.0,36,31,,,,717,717,717.0,OCAFGGHM_01142,GPENAHNM_00414
rbsKrbiA,rbsK/rbiA,Bifunctional ribokinase/ribose-5-phosphate isomerase A,2,2,1.0,36,30,,,,924,924,924.0,OCAFGGHM_01423,GPENAHNM_00438
rihC,rihC,Non-specific ribonucleoside hydrolase RihC,2,2,1.0,36,29,,,,924,924,924.0,OCAFGGHM_01421,GPENAHNM_00440
ebh_2~~~hylA,ebh_2;hylA,Extracellular matrix-binding protein ebh;Polysaccharide lyase 8 family protein HylA,2,2,1.0,36,28,,,,1398,2844,2121.0,OCAFGGHM_01149,GPENAHNM_00407
phoU,phoU,Phosphate-specific transport system accessory protein PhoU,2,2,1.0,36,27,,,,720,720,720.0,OCAFGGHM_01137,GPENAHNM_00419
group_414,,Adenine deaminase,2,2,1.0,36,26,,,,1014,1014,1014.0,OCAFGGHM_01145,GPENAHNM_00411
pnbA,pnbA,4-nitrobenzoate reductase,2,2,1.0,36,25,,,,657,657,657.0,OCAFGGHM_01418,GPENAHNM_00443
xpkA,xpkA,Xylulose-5-phosphate phosphoketolase,2,2,1.0,36,24,,,,2370,2370,2370.0,OCAFGGHM_01419,GPENAHNM_00442
pstS1,pstS1,Phosphate-binding protein PstS 1,2,2,1.0,36,23,,,,867,867,867.0,OCAFGGHM_01141,GPENAHNM_00415
group_413,gmuR_1,HTH-type transcriptional regulator GmuR,2,2,1.0,36,22,,,,726,726,726.0,OCAFGGHM_01420,GPENAHNM_00441
group_412,,hypothetical protein,2,2,1.0,36,21,,,,807,807,807.0,OCAFGGHM_01424,GPENAHNM_00437
group_411,,putative ABC transporter ATP-binding protein,2,2,1.0,36,20,,,,1737,1737,1737.0,OCAFGGHM_01622,GPENAHNM_00428
bcaP_2,bcaP_2,Branched-chain amino acid permease BcaP,2,2,1.0,36,19,,,,1440,1440,1440.0,OCAFGGHM_01135,GPENAHNM_00421
group_410,,hypothetical protein,2,2,1.0,36,18,,,,1296,1296,1296.0,OCAFGGHM_01425,GPENAHNM_00436
group_409,,putative ABC transporter ATP-binding protein,2,2,1.0,36,17,,,,1758,1758,1758.0,OCAFGGHM_01623,GPENAHNM_00429
glnP,glnP,putative glutamine ABC transporter permease protein GlnP,2,2,1.0,36,16,,,,663,663,663.0,OCAFGGHM_01428,GPENAHNM_00433
paiA_2,paiA_2,Spermidine/spermine N(1)-acetyltransferase,2,2,1.0,36,15,,,,522,522,522.0,OCAFGGHM_01148,GPENAHNM_00408
group_408,,hypothetical protein,2,2,1.0,36,14,,,,1050,1050,1050.0,OCAFGGHM_01427,GPENAHNM_00434
glnQ_2,glnQ_2,Glutamine transport ATP-binding protein GlnQ,2,2,1.0,36,13,,,,741,741,741.0,OCAFGGHM_01624,GPENAHNM_00430
pstA,pstA,Phosphate transport system permease protein PstA,2,2,1.0,36,12,,,,882,882,882.0,OCAFGGHM_01139,GPENAHNM_00417
pucI,pucI,Allantoin permease,2,2,1.0,36,11,,,,1320,1320,1320.0,OCAFGGHM_01147,GPENAHNM_00409
group_407,,hypothetical protein,2,3,1.5,36,10,,,,123,447,270.0,OCAFGGHM_01130;OCAFGGHM_01621,GPENAHNM_00427
glnH,glnH,ABC transporter glutamine-binding protein GlnH,2,2,1.0,36,9,,,,828,828,828.0,OCAFGGHM_01625,GPENAHNM_00431
yjeM_1,yjeM_1,Inner membrane transporter YjeM,2,2,1.0,36,8,,,,1488,1488,1488.0,OCAFGGHM_01136,GPENAHNM_00420
pstB3,pstB3,Phosphate import ATP-binding protein PstB 3,2,2,1.0,36,7,,,,753,753,753.0,OCAFGGHM_01138,GPENAHNM_00418
ykoT,ykoT,putative glycosyltransferase YkoT,2,2,1.0,36,6,,,,960,960,960.0,OCAFGGHM_01132,GPENAHNM_00425
group_406,,hypothetical protein,2,2,1.0,36,5,,,,900,900,900.0,OCAFGGHM_01140,GPENAHNM_00416
rpiA,rpiA,Ribose-5-phosphate isomerase A,2,2,1.0,36,4,,,,693,693,693.0,OCAFGGHM_01422,GPENAHNM_00439
mdtG~~~sbnD_2~~~sbnD_1,mdtG;sbnD_2;sbnD_1,Multidrug resistance protein MdtG;Staphyloferrin B transporter,2,3,1.5,36,3,,,,207,1212,797.0,OCAFGGHM_01134,GPENAHNM_00422;GPENAHNM_00423
glnM_2~~~glnM_1~~~glnM,glnM_2;glnM_1;glnM,putative glutamine ABC transporter permease protein GlnM,2,3,1.5,36,2,,,,294,639,410.0,OCAFGGHM_01429;OCAFGGHM_01626,GPENAHNM_00432
group_405,,hypothetical protein,2,2,1.0,36,1,,,,624,624,624.0,OCAFGGHM_01426,GPENAHNM_00435
thrP_2,thrP_2,Threonine/serine transporter ThrP,2,2,1.0,35,20,,,,1383,1383,1383.0,OCAFGGHM_01127,GPENAHNM_01041
dnaJ,dnaJ,Chaperone protein DnaJ,2,2,1.0,35,19,,,,1137,1137,1137.0,OCAFGGHM_01114,GPENAHNM_01054
strA,strA,Sortase A,2,2,1.0,35,18,,,,711,711,711.0,OCAFGGHM_01116,GPENAHNM_01052
truB,truB,tRNA pseudouridine synthase B,2,2,1.0,35,17,,,,630,888,759.0,OCAFGGHM_01109,GPENAHNM_01059
thrP_1,thrP_1,Threonine/serine transporter ThrP,2,2,1.0,35,16,,,,1401,1401,1401.0,OCAFGGHM_01126,GPENAHNM_01042
recJ,recJ,Single-stranded-DNA-specific exonuclease RecJ,2,2,1.0,35,15,,,,2262,2262,2262.0,OCAFGGHM_01117,GPENAHNM_01051
kdpB,kdpB,Potassium-transporting ATPase ATP-binding subunit,2,2,1.0,35,14,,,,2277,2277,2277.0,OCAFGGHM_01119,GPENAHNM_01049
group_404,,hypothetical protein,2,2,1.0,35,13,,,,510,510,510.0,OCAFGGHM_01120,GPENAHNM_01048
grpE,grpE,Protein GrpE,2,2,1.0,35,12,,,,582,582,582.0,OCAFGGHM_01112,GPENAHNM_01056
ribCF,ribCF,Bifunctional riboflavin kinase/FMN adenylyltransferase,2,2,1.0,35,11,,,,939,939,939.0,OCAFGGHM_01110,GPENAHNM_01058
hrcA,hrcA,Heat-inducible transcription repressor HrcA,2,2,1.0,35,10,,,,1044,1044,1044.0,OCAFGGHM_01111,GPENAHNM_01057
apt,apt,Adenine phosphoribosyltransferase,2,2,1.0,35,9,,,,528,528,528.0,OCAFGGHM_01118,GPENAHNM_01050
group_403,lepA_2,Elongation factor 4,2,2,1.0,35,8,,,,1839,1839,1839.0,OCAFGGHM_01115,GPENAHNM_01053
dnaK,dnaK,Chaperone protein DnaK,2,2,1.0,35,7,,,,1851,1851,1851.0,OCAFGGHM_01113,GPENAHNM_01055
qmcA,qmcA,Protein QmcA,2,2,1.0,35,6,,,,867,873,870.0,OCAFGGHM_01128,GPENAHNM_01040
group_402,,hypothetical protein,2,2,1.0,35,5,,,,1539,1539,1539.0,OCAFGGHM_01124,GPENAHNM_01044
group_401,,DegV domain-containing protein,2,2,1.0,35,4,,,,831,831,831.0,OCAFGGHM_01121,GPENAHNM_01047
ydfK,ydfK,putative membrane protein YdfK,2,2,1.0,35,3,,,,687,687,687.0,OCAFGGHM_01125,GPENAHNM_01043
group_400,,hypothetical protein,2,2,1.0,35,2,,,,570,570,570.0,OCAFGGHM_01122,GPENAHNM_01046
thyA,thyA,Thymidylate synthase,2,2,1.0,35,1,,,,957,957,957.0,OCAFGGHM_01129,GPENAHNM_01039
frr,frr,Ribosome-recycling factor,2,2,1.0,34,38,,,,558,558,558.0,OCAFGGHM_01097,GPENAHNM_01071
rasP,rasP,Regulator of sigma-W protease RasP,2,2,1.0,34,37,,,,1254,1254,1254.0,OCAFGGHM_01094,GPENAHNM_01068
rbfA,rbfA,Ribosome-binding factor A,2,2,1.0,34,36,,,,357,357,357.0,OCAFGGHM_01086,GPENAHNM_01060
group_399,,hypothetical protein,2,2,1.0,34,35,,,,132,132,132.0,OCAFGGHM_01266,GPENAHNM_01086
group_398,,hypothetical protein,2,2,1.0,34,34,,,,333,333,333.0,OCAFGGHM_01265,GPENAHNM_01087
uppS,uppS,Ditranspolycis-undecaprenyl-diphosphate synthase ((2E6E)-farnesyl-diphosphate specific),2,2,1.0,34,33,,,,714,714,714.0,OCAFGGHM_01096,GPENAHNM_01070
pcp,pcp,Pyrrolidone-carboxylate peptidase,2,2,1.0,34,32,,,,648,648,648.0,OCAFGGHM_01267,GPENAHNM_01085
proS,proS,Proline--tRNA ligase,2,2,1.0,34,31,,,,1698,1698,1698.0,OCAFGGHM_01093,GPENAHNM_01067
yfiC,yfiC,tRNA1(Val) (adenine(37)-N6)-methyltransferase,2,2,1.0,34,30,,,,1011,1011,1011.0,OCAFGGHM_01101,GPENAHNM_01075
group_397,,hypothetical protein,2,2,1.0,34,29,,,,234,234,234.0,OCAFGGHM_01256,GPENAHNM_01096
rimP,rimP,Ribosome maturation factor RimP,2,2,1.0,34,28,,,,510,510,510.0,OCAFGGHM_01091,GPENAHNM_01065
group_396,,hypothetical protein,2,2,1.0,34,27,,,,1980,1980,1980.0,OCAFGGHM_01263,GPENAHNM_01089
rimM,rimM,Ribosome maturation factor RimM,2,2,1.0,34,26,,,,513,513,513.0,OCAFGGHM_01260,GPENAHNM_01092
ffh,ffh,Signal recognition particle protein,2,2,1.0,34,25,,,,1428,1428,1428.0,OCAFGGHM_01258,GPENAHNM_01094
pyrH,pyrH,Uridylate kinase,2,2,1.0,34,24,,,,726,726,726.0,OCAFGGHM_01098,GPENAHNM_01072
group_395,,hypothetical protein,2,2,1.0,34,23,,,,807,807,807.0,OCAFGGHM_01095,GPENAHNM_01069
trmD,trmD,tRNA (guanine-N(1)-)-methyltransferase,2,2,1.0,34,22,,,,732,732,732.0,OCAFGGHM_01261,GPENAHNM_01091
tsf,tsf,Elongation factor Ts,2,2,1.0,34,21,,,,876,876,876.0,OCAFGGHM_01099,GPENAHNM_01073
yheH,yheH,putative multidrug resistance ABC transporter ATP-binding/permease protein YheH,2,2,1.0,34,20,,,,1785,1785,1785.0,OCAFGGHM_01103,GPENAHNM_01077
scrB,scrB,Sucrose-6-phosphate hydrolase,2,2,1.0,34,19,,,,1452,1452,1452.0,OCAFGGHM_01269,GPENAHNM_01083
group_394,,hypothetical protein,2,2,1.0,34,18,,,,249,249,249.0,OCAFGGHM_01106,GPENAHNM_01080
comA_2,;comA_2,hypothetical protein;Transport/processing ATP-binding protein ComA,2,2,1.0,34,17,,,,180,1587,883.5,OCAFGGHM_01255,GPENAHNM_01097
group_393,,hypothetical protein,2,2,1.0,34,16,,,,276,297,286.5,OCAFGGHM_01089,GPENAHNM_01063
lepA_2,lepA_2,Elongation factor 4,2,2,1.0,34,15,,,,2703,2703,2703.0,OCAFGGHM_01087,GPENAHNM_01061
yheI,yheI,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI,2,2,1.0,34,14,,,,1596,1755,1675.5,OCAFGGHM_01104,GPENAHNM_01078
rpsP,rpsP,Small ribosomal subunit protein bS16,2,2,1.0,34,13,,,,273,273,273.0,OCAFGGHM_01259,GPENAHNM_01093
scrA_1,scrA_1,PTS system sucrose-specific EIIBCA component,2,2,1.0,34,12,,,,1947,1947,1947.0,OCAFGGHM_01270,GPENAHNM_01082
plsC,plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,2,2,1.0,34,11,,,,615,615,615.0,OCAFGGHM_01102,GPENAHNM_01076
group_392,,hypothetical protein,2,2,1.0,34,10,,,,336,336,336.0,OCAFGGHM_01257,GPENAHNM_01095
lexA_3,lexA_3,LexA repressor,2,2,1.0,34,9,,,,636,636,636.0,OCAFGGHM_01107,GPENAHNM_01081
bceA_2~~~bceA_1,bceA_2;bceA_1,Bacitracin export ATP-binding protein BceA,2,2,1.0,34,8,,,,669,669,669.0,OCAFGGHM_01264,GPENAHNM_01088
nusA,nusA,Transcription termination/antitermination protein NusA,2,2,1.0,34,7,,,,1107,1107,1107.0,OCAFGGHM_01090,GPENAHNM_01064
group_391,polC_1,DNA polymerase III PolC-type,2,2,1.0,34,6,,,,4320,4320,4320.0,OCAFGGHM_01092,GPENAHNM_01066
rulQ,rulQ,RNA-binding protein YlxQ,2,2,1.0,34,5,,,,312,312,312.0,OCAFGGHM_01088,GPENAHNM_01062
rplS,rplS,Large ribosomal subunit protein bL19,2,2,1.0,34,4,,,,348,348,348.0,OCAFGGHM_01262,GPENAHNM_01090
degA_3,degA_3,HTH-type transcriptional regulator DegA,2,2,1.0,34,3,,,,981,981,981.0,OCAFGGHM_01268,GPENAHNM_01084
group_390,,hypothetical protein,2,2,1.0,34,2,,,,222,222,222.0,OCAFGGHM_01105,GPENAHNM_01079
rpsB,rpsB,Small ribosomal subunit protein uS2,2,2,1.0,34,1,,,,783,783,783.0,OCAFGGHM_01100,GPENAHNM_01074
group_388,,hypothetical protein,2,2,1.0,33,10,,,,384,384,384.0,OCAFGGHM_01084,GPENAHNM_00857
iolS,iolS,Aldo-keto reductase IolS,2,2,1.0,33,9,,,,939,939,939.0,OCAFGGHM_01083,GPENAHNM_00858
group_387,,hypothetical protein,2,2,1.0,33,8,,,,321,450,385.5,OCAFGGHM_01079,GPENAHNM_00866
group_386,,Gamma-resorcylate decarboxylase;hypothetical protein,2,2,1.0,33,7,,,,912,912,912.0,OCAFGGHM_01081,GPENAHNM_00860
group_384,,hypothetical protein,2,2,1.0,33,5,,,,753,753,753.0,OCAFGGHM_01080,GPENAHNM_00865
group_383,,hypothetical protein,2,2,1.0,33,4,,,,1068,1074,1071.0,OCAFGGHM_01085,GPENAHNM_00856
msbA_2,msbA_2,ATP-dependent lipid A-core flippase,2,2,1.0,33,3,,,,1581,1581,1581.0,OCAFGGHM_01078,GPENAHNM_00867
adhR,adhR,HTH-type transcriptional regulator AdhR,2,2,1.0,33,2,,,,408,408,408.0,OCAFGGHM_01082,GPENAHNM_00859
bceB,bceB,Bacitracin export permease protein BceB,2,2,1.0,32,18,,,,1800,1800,1800.0,OCAFGGHM_01067,GPENAHNM_01326
trcR,trcR,Transcriptional regulatory protein TrcR,2,2,1.0,32,17,,,,672,672,672.0,OCAFGGHM_01073,GPENAHNM_01320
ndkA,ndkA,Nucleoside diphosphate kinase,2,2,1.0,32,16,,,,450,450,450.0,OCAFGGHM_01068,GPENAHNM_01325
bceA_1,bceA_1,Bacitracin export ATP-binding protein BceA,2,2,1.0,32,15,,,,750,750,750.0,OCAFGGHM_01066,GPENAHNM_01327
group_382,,hypothetical protein,2,2,1.0,32,14,,,,675,675,675.0,OCAFGGHM_01070,GPENAHNM_01323
fpaP,fpaP,Proline iminopeptidase,2,2,1.0,32,13,,,,912,912,912.0,OCAFGGHM_01077,GPENAHNM_01316
efp_1~~~efp_2,efp_1;efp_2,Elongation factor P,2,2,1.0,32,11,,,,504,561,532.5,OCAFGGHM_01076,GPENAHNM_01317
group_380,,hypothetical protein,2,2,1.0,32,10,,,,291,291,291.0,OCAFGGHM_01061,GPENAHNM_01332
ywaC,ywaC,GTP pyrophosphokinase YwaC,2,2,1.0,32,9,,,,615,615,615.0,OCAFGGHM_01072,GPENAHNM_01321
helD,helD,DNA helicase IV,2,2,1.0,32,8,,,,2295,2295,2295.0,OCAFGGHM_01071,GPENAHNM_01322
cobC,cobC,Adenosylcobalamin/alpha-ribazole phosphatase,2,2,1.0,32,7,,,,651,651,651.0,OCAFGGHM_01069,GPENAHNM_01324
hflX,hflX,GTPase HflX,2,2,1.0,32,6,,,,1272,1272,1272.0,OCAFGGHM_01065,GPENAHNM_01328
group_379,,hypothetical protein,2,2,1.0,32,5,,,,1251,1251,1251.0,OCAFGGHM_01064,GPENAHNM_01329
gmk_1~~~gmk_2,gmk_1;gmk_2,Guanylate kinase,2,2,1.0,32,4,,,,558,558,558.0,OCAFGGHM_01062,GPENAHNM_01331
sasA_2,sasA_2,Adaptive-response sensory-kinase SasA,2,2,1.0,32,2,,,,1251,1251,1251.0,OCAFGGHM_01074,GPENAHNM_01319
coaA,coaA,Pantothenate kinase,2,2,1.0,32,1,,,,915,915,915.0,OCAFGGHM_01075,GPENAHNM_01318
group_376,,hypothetical protein,2,2,1.0,30,1,,,,627,627,627.0,OCAFGGHM_01059,GPENAHNM_01413
galK_1,galK_1,Galactokinase,2,2,1.0,29,23,,,,915,915,915.0,OCAFGGHM_01057,GPENAHNM_00970
ytrA,ytrA,HTH-type transcriptional repressor YtrA,2,2,1.0,29,22,,,,369,369,369.0,OCAFGGHM_01043,GPENAHNM_00984
group_375,,GTP cyclohydrolase 1 type 2,2,2,1.0,29,21,,,,798,798,798.0,OCAFGGHM_01041,GPENAHNM_00986
group_374,,hypothetical protein,2,2,1.0,29,20,,,,723,723,723.0,OCAFGGHM_01051,GPENAHNM_00976
fni,fni,Isopentenyl-diphosphate delta-isomerase,2,2,1.0,29,19,,,,1023,1023,1023.0,OCAFGGHM_01054,GPENAHNM_00973
spsB,spsB,Signal peptidase IB,2,2,1.0,29,18,,,,579,579,579.0,OCAFGGHM_01050,GPENAHNM_00977
dnaG,dnaG,DNA primase,2,2,1.0,29,17,,,,1788,1788,1788.0,OCAFGGHM_01038,GPENAHNM_00989
group_373,,hypothetical protein,2,2,1.0,29,16,,,,186,186,186.0,OCAFGGHM_01049,GPENAHNM_00978
glyQ,glyQ,Glycine--tRNA ligase alpha subunit,2,2,1.0,29,15,,,,771,918,844.5,OCAFGGHM_01036,GPENAHNM_00991
group_372,,hypothetical protein,2,2,1.0,29,14,,,,813,813,813.0,OCAFGGHM_01045,GPENAHNM_00982
group_371,,hypothetical protein,2,2,1.0,29,13,,,,963,963,963.0,OCAFGGHM_01056,GPENAHNM_00971
group_370,,Phosphomevalonate kinase,2,2,1.0,29,12,,,,1089,1089,1089.0,OCAFGGHM_01055,GPENAHNM_00972
addB,addB,ATP-dependent helicase/deoxyribonuclease subunit B,2,2,1.0,29,11,,,,3456,3456,3456.0,OCAFGGHM_01058,GPENAHNM_00969
sigA,sigA,RNA polymerase sigma factor SigA,2,2,1.0,29,10,,,,1095,1095,1095.0,OCAFGGHM_01039,GPENAHNM_00988
group_369,,hypothetical protein,2,2,1.0,29,9,,,,759,759,759.0,OCAFGGHM_01047,GPENAHNM_00980
group_368,,hypothetical protein,2,2,1.0,29,8,,,,687,687,687.0,OCAFGGHM_01048,GPENAHNM_00979
group_367,,hypothetical protein,2,2,1.0,29,7,,,,798,798,798.0,OCAFGGHM_01046,GPENAHNM_00981
rsmF,rsmF;,Ribosomal RNA small subunit methyltransferase F;hypothetical protein,2,3,1.5,29,6,,,,969,2346,1567.0,OCAFGGHM_01052,GPENAHNM_00974;GPENAHNM_00975
trmK,trmK,tRNA (adenine(22)-N(1))-methyltransferase,2,2,1.0,29,5,,,,690,690,690.0,OCAFGGHM_01040,GPENAHNM_00987
pepT_1,pepT_1,Peptidase T,2,2,1.0,29,3,,,,1239,1239,1239.0,OCAFGGHM_01042,GPENAHNM_00985
glyS,glyS,Glycine--tRNA ligase beta subunit,2,2,1.0,29,2,,,,2067,2067,2067.0,OCAFGGHM_01037,GPENAHNM_00990
albC,albC,Putative ABC transporter ATP-binding protein AlbC,2,2,1.0,29,1,,,,702,702,702.0,OCAFGGHM_01044,GPENAHNM_00983
group_365,,hypothetical protein,2,2,1.0,28,33,,,,915,915,915.0,OCAFGGHM_00975,GPENAHNM_00657
sorA_1,sorA_1,PTS system sorbose-specific EIIC component,2,2,1.0,28,32,,,,852,852,852.0,OCAFGGHM_00986,GPENAHNM_00667
group_364,,Putative phosphatase,2,2,1.0,28,31,,,,789,789,789.0,OCAFGGHM_00989,GPENAHNM_00670
lipI~~~nlhH,lipI;nlhH,Esterase LipI;Carboxylesterase NlhH,2,2,1.0,28,30,,,,885,885,885.0,OCAFGGHM_00976,GPENAHNM_00658
yfbR,yfbR,5'-deoxynucleotidase YfbR,2,2,1.0,28,29,,,,642,642,642.0,OCAFGGHM_00974,GPENAHNM_00656
norB,norB,Quinolone resistance protein NorB,2,2,1.0,28,28,,,,1392,1392,1392.0,OCAFGGHM_00980,GPENAHNM_00662
group_363,,hypothetical protein,2,2,1.0,28,27,,,,1266,1266,1266.0,OCAFGGHM_00995,GPENAHNM_00677
group_362,,hypothetical protein,2,2,1.0,28,26,,,,300,300,300.0,OCAFGGHM_00984,GPENAHNM_00665
levE_2,levE_2,PTS system fructose-specific EIIB component,2,2,1.0,28,25,,,,504,504,504.0,OCAFGGHM_00987,GPENAHNM_00668
group_361,,hypothetical protein,2,2,1.0,28,24,,,,114,114,114.0,OCAFGGHM_00972,GPENAHNM_00654
mltF,mltF,Membrane-bound lytic murein transglycosylase F,2,2,1.0,28,23,,,,1605,1605,1605.0,OCAFGGHM_00998,GPENAHNM_00173
group_360,,hypothetical protein,2,3,1.5,28,22,,,,117,1317,876.0,OCAFGGHM_00991,GPENAHNM_00672;GPENAHNM_00673
group_359,,hypothetical protein,2,2,1.0,28,21,,,,1272,1272,1272.0,OCAFGGHM_00993,GPENAHNM_00675
group_358,,hypothetical protein,2,2,1.0,28,20,,,,171,171,171.0,OCAFGGHM_00982,GPENAHNM_00664
lldD~~~hmo,lldD;hmo,L-lactate dehydrogenase;4-hydroxymandelate oxidase,2,2,1.0,28,19,,,,1008,1008,1008.0,OCAFGGHM_00994,GPENAHNM_00676
tadA_2,tadA_2,tRNA-specific adenosine deaminase,2,2,1.0,28,18,,,,453,453,453.0,OCAFGGHM_00981,GPENAHNM_00663
rihA_3,rihA_3,Pyrimidine-specific ribonucleoside hydrolase RihA,2,2,1.0,28,17,,,,951,951,951.0,OCAFGGHM_00979,GPENAHNM_00661
artM,artM,Arginine transport ATP-binding protein ArtM,2,2,1.0,28,16,,,,747,747,747.0,OCAFGGHM_00997,GPENAHNM_00174
lnrK,lnrK,Transcriptional regulatory protein LnrK,2,2,1.0,28,15,,,,672,672,672.0,OCAFGGHM_00992,GPENAHNM_00674
yurK,yurK,putative HTH-type transcriptional regulator YurK,2,2,1.0,28,14,,,,747,747,747.0,OCAFGGHM_00977,GPENAHNM_00659
group_357,,hypothetical protein,2,2,1.0,28,13,,,,135,135,135.0,OCAFGGHM_00973,GPENAHNM_00655
group_356,,hypothetical protein,2,2,1.0,28,12,,,,402,402,402.0,OCAFGGHM_00971,GPENAHNM_00653
group_355,,hypothetical protein,2,2,1.0,28,11,,,,363,363,363.0,OCAFGGHM_01000,GPENAHNM_00171
rbsB_1,rbsB_1,Ribose import binding protein RbsB,2,2,1.0,28,10,,,,963,963,963.0,OCAFGGHM_00990,GPENAHNM_00671
group_354,,Putative 3-methyladenine DNA glycosylase,2,2,1.0,28,9,,,,642,642,642.0,OCAFGGHM_00999,GPENAHNM_00172
manZ_2,manZ_2,PTS system mannose-specific EIID component,2,2,1.0,28,8,,,,837,837,837.0,OCAFGGHM_00985,GPENAHNM_00666
group_353,,hypothetical protein,2,2,1.0,28,7,,,,438,438,438.0,OCAFGGHM_00988,GPENAHNM_00669
group_352,,hypothetical protein,2,2,1.0,28,6,,,,843,843,843.0,OCAFGGHM_00996,GPENAHNM_00175
