Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_paragasseri__UMB0056__GCA_002884735.1,Lactobacillus_paragasseri__UMB5640__GCA_030216965.1,Lactobacillus_paragasseri__UMB6357__GCA_030216895.1
group_337,,hypothetical protein,3,3,1.0,2,716,,,,150,546,414.0,CHONFCMC_00463,KGGMHOKE_00642,JPPLDLFD_01283
group_336,,hypothetical protein,3,3,1.0,2,714,,,,837,837,837.0,CHONFCMC_00391,KGGMHOKE_00578,JPPLDLFD_00652
drrA1,drrA1,Daunorubicin resistance ATP-binding protein DrrA1,3,3,1.0,2,712,,,,852,852,852.0,CHONFCMC_00590,KGGMHOKE_00753,JPPLDLFD_00995
group_334,,hypothetical protein,3,3,1.0,2,710,,,,453,453,453.0,CHONFCMC_00588,KGGMHOKE_00751,JPPLDLFD_00997
ampR~~~hdfR_3~~~gltC,ampR;hdfR_3;gltC;,HTH-type transcriptional activator AmpR;HTH-type transcriptional regulator HdfR;Transcriptional dual regulator GltC;hypothetical protein,3,4,1.3333333333333333,2,709,,,,138,861,462.75,CHONFCMC_00623,KGGMHOKE_00849;KGGMHOKE_00848,JPPLDLFD_00971
rbgA,rbgA,Ribosome biogenesis GTPase A,3,3,1.0,2,707,,,,840,840,840.0,CHONFCMC_00638,KGGMHOKE_00863,JPPLDLFD_00957
group_332,,hypothetical protein,3,3,1.0,2,704,,,,840,840,840.0,CHONFCMC_00251,KGGMHOKE_00437,JPPLDLFD_00456
glcR_1,glcR_1,HTH-type transcriptional repressor GlcR,3,3,1.0,2,703,,,,777,780,779.0,CHONFCMC_00134,KGGMHOKE_00063,JPPLDLFD_00709
group_329,,hypothetical protein,3,3,1.0,2,698,,,,759,762,761.0,CHONFCMC_00371,KGGMHOKE_00558,JPPLDLFD_00266
yqfL,yqfL,Putative pyruvate phosphate dikinase regulatory protein,3,3,1.0,2,697,,,,843,843,843.0,CHONFCMC_00374,KGGMHOKE_00561,JPPLDLFD_00269
yheI_2,yheI_2,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI,3,3,1.0,2,696,,,,1584,1584,1584.0,CHONFCMC_00591,KGGMHOKE_00754,JPPLDLFD_00994
group_328,,hypothetical protein,3,3,1.0,2,695,,,,816,855,842.0,CHONFCMC_00689,KGGMHOKE_00950,JPPLDLFD_01425
dprA,dprA,DNA processing protein DprA,3,3,1.0,2,694,,,,846,846,846.0,CHONFCMC_00636,KGGMHOKE_00861,JPPLDLFD_00959
lacA_1~~~ganA,lacA_1;ganA,Beta-galactosidase GalA;Beta-galactosidase GanA,3,4,1.3333333333333333,2,692,,,,936,2043,1514.25,CHONFCMC_00078,KGGMHOKE_01611,JPPLDLFD_00096;JPPLDLFD_00095
group_327,,hypothetical protein,3,4,1.3333333333333333,2,689,,,,108,483,357.75,CHONFCMC_00469,KGGMHOKE_00648,JPPLDLFD_01276;JPPLDLFD_01277
fetA_2,fetA_2,putative iron export ATP-binding protein FetA,3,3,1.0,2,687,,,,639,642,641.0,CHONFCMC_00613,KGGMHOKE_00837,JPPLDLFD_00975
msrB,msrB,Peptide methionine sulfoxide reductase MsrB,3,3,1.0,2,686,,,,432,432,432.0,CHONFCMC_00370,KGGMHOKE_00557,JPPLDLFD_00265
group_326,,hypothetical protein,3,5,1.6666666666666667,2,685,,,,159,822,465.0,CHONFCMC_00580;CHONFCMC_00581,KGGMHOKE_00743,JPPLDLFD_00863;JPPLDLFD_00862
group_324,,hypothetical protein,3,3,1.0,2,683,,,,501,501,501.0,CHONFCMC_00487,KGGMHOKE_00664,JPPLDLFD_00185
cdaA,cdaA,Cyclic di-AMP synthase CdaA,3,3,1.0,2,682,,,,849,849,849.0,CHONFCMC_00819,KGGMHOKE_01084,JPPLDLFD_00404
brnQ_3~~~brnQ_2~~~brnQ_1,brnQ_3;brnQ_2;brnQ_1,Branched-chain amino acid permease BrnQ,3,4,1.3333333333333333,2,680,,,,357,1368,1022.25,CHONFCMC_00584,KGGMHOKE_00747;KGGMHOKE_00746,JPPLDLFD_01001
catM,catM,HTH-type transcriptional regulator CatM,3,3,1.0,2,679,,,,849,849,849.0,CHONFCMC_00342,KGGMHOKE_00529,JPPLDLFD_00570
folD,folD,Bifunctional protein FolD protein,3,3,1.0,2,678,,,,849,849,849.0,CHONFCMC_00259,KGGMHOKE_00445,JPPLDLFD_00464
group_322,,hypothetical protein,3,3,1.0,2,677,,,,396,396,396.0,CHONFCMC_00587,KGGMHOKE_00750,JPPLDLFD_00998
group_321,,(R)-mandelonitrile lyase,3,3,1.0,2,675,,,,414,414,414.0,CHONFCMC_00585,KGGMHOKE_00748,JPPLDLFD_01000
mreC,mreC,Cell shape-determining protein MreC,3,3,1.0,2,673,,,,852,852,852.0,CHONFCMC_00744,KGGMHOKE_01007,JPPLDLFD_01370
group_319,,hypothetical protein,3,3,1.0,2,672,,,,360,360,360.0,CHONFCMC_00474,KGGMHOKE_00653,JPPLDLFD_01298
group_318,,hypothetical protein,3,3,1.0,2,671,,,,852,852,852.0,CHONFCMC_00350,KGGMHOKE_00537,JPPLDLFD_00245
group_316,,hypothetical protein,3,3,1.0,2,669,,,,414,414,414.0,CHONFCMC_00609,KGGMHOKE_00833,JPPLDLFD_00980
divIB,divIB,Cell division protein DivIB,3,3,1.0,2,668,,,,855,855,855.0,CHONFCMC_00733,KGGMHOKE_00995,JPPLDLFD_01381
deoD,deoD,Purine nucleoside phosphorylase DeoD-type,3,3,1.0,2,667,,,,765,765,765.0,CHONFCMC_00489,KGGMHOKE_00667,JPPLDLFD_00182
group_315,,hypothetical protein,3,3,1.0,2,666,,,,576,576,576.0,CHONFCMC_00464,KGGMHOKE_00643,JPPLDLFD_01282
group_314,,Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase,3,3,1.0,2,665,,,,396,588,524.0,CHONFCMC_00527,KGGMHOKE_00707,JPPLDLFD_00141
metQ,metQ,putative D-methionine-binding lipoprotein MetQ,3,3,1.0,2,664,,,,855,855,855.0,CHONFCMC_00352,KGGMHOKE_00539,JPPLDLFD_00247
group_313,,hypothetical protein,3,3,1.0,2,663,,,,237,237,237.0,CHONFCMC_00542,KGGMHOKE_00722,JPPLDLFD_01058
group_312,,hypothetical protein,3,3,1.0,2,662,,,,858,858,858.0,CHONFCMC_00699,KGGMHOKE_00960,JPPLDLFD_01415
ybhL_2~~~ybhL_1,ybhL_2;ybhL_1,Inner membrane protein YbhL,3,3,1.0,2,661,,,,714,714,714.0,CHONFCMC_00543,KGGMHOKE_00723,JPPLDLFD_01057
dgoD,dgoD,D-galactonate dehydratase,3,3,1.0,2,660,,,,1173,1173,1173.0,CHONFCMC_00593,KGGMHOKE_00756,JPPLDLFD_00991
glcT~~~licT_5~~~licT_1,glcT;licT_5;licT_1,PtsGHI operon antiterminator;Transcription antiterminator LicT,3,3,1.0,2,658,,,,651,840,777.0,CHONFCMC_00049,KGGMHOKE_01570,JPPLDLFD_00125
gmuF,gmuF,putative mannose-6-phosphate isomerase GmuF,3,3,1.0,2,657,,,,966,966,966.0,CHONFCMC_00794,KGGMHOKE_01056,JPPLDLFD_01321
ywpJ,ywpJ,Phosphatase YwpJ,3,3,1.0,2,656,,,,861,861,861.0,CHONFCMC_00829,KGGMHOKE_00296,JPPLDLFD_00414
group_311,,hypothetical protein,3,3,1.0,2,655,,,,855,855,855.0,CHONFCMC_00589,KGGMHOKE_00752,JPPLDLFD_00996
group_309,,hypothetical protein,3,4,1.3333333333333333,2,653,,,,255,1032,784.5,CHONFCMC_00624;CHONFCMC_00625,KGGMHOKE_00850,JPPLDLFD_00970
group_307,,hypothetical protein,3,3,1.0,2,651,,,,267,267,267.0,CHONFCMC_00479,KGGMHOKE_00658,JPPLDLFD_00190
ydaF,ydaF,Putative ribosomal N-acetyltransferase YdaF,3,3,1.0,2,650,,,,534,543,540.0,CHONFCMC_00477,KGGMHOKE_00656,JPPLDLFD_00192
thrB_1,thrB_1,Homoserine kinase,3,3,1.0,2,649,,,,864,864,864.0,CHONFCMC_00428,KGGMHOKE_00617,JPPLDLFD_01099
prmA,prmA,Ribosomal protein L11 methyltransferase,3,3,1.0,2,648,,,,948,948,948.0,CHONFCMC_00363,KGGMHOKE_00550,JPPLDLFD_00258
group_306,,hypothetical protein,3,3,1.0,2,647,,,,867,867,867.0,CHONFCMC_00262,KGGMHOKE_00448,JPPLDLFD_00467
group_305,,D-ribitol-5-phosphate phosphatase,3,3,1.0,2,646,,,,600,600,600.0,CHONFCMC_00600,KGGMHOKE_00763,JPPLDLFD_00984
pstS1,pstS1,Phosphate-binding protein PstS 1,3,3,1.0,2,645,,,,870,870,870.0,CHONFCMC_00120,KGGMHOKE_00036,JPPLDLFD_00723
yvcJ,yvcJ,Nucleotide-binding protein YvcJ,3,3,1.0,2,644,,,,876,876,876.0,CHONFCMC_00847,KGGMHOKE_00278,JPPLDLFD_00432
group_304,,hypothetical protein,3,3,1.0,2,643,,,,1071,1212,1165.0,CHONFCMC_00813,KGGMHOKE_01078,JPPLDLFD_01302
group_303,,hypothetical protein,3,3,1.0,2,642,,,,492,492,492.0,CHONFCMC_00547,KGGMHOKE_00727,JPPLDLFD_00837
group_302,,Aldo-keto reductase/MSMEI_2347,3,3,1.0,2,641,,,,876,876,876.0,CHONFCMC_00536,KGGMHOKE_00716,JPPLDLFD_01064
treA,treA,Trehalose-6-phosphate hydrolase,3,3,1.0,2,640,,,,1659,1725,1681.0,CHONFCMC_00098,KGGMHOKE_00011,JPPLDLFD_00082
qmcA,qmcA,Protein QmcA,3,3,1.0,2,639,,,,876,876,876.0,CHONFCMC_00466,KGGMHOKE_00645,JPPLDLFD_01280
group_301,,hypothetical protein,3,3,1.0,2,638,,,,327,327,327.0,CHONFCMC_00133,KGGMHOKE_00062,JPPLDLFD_00710
rihC,rihC,Non-specific ribonucleoside hydrolase RihC,3,3,1.0,2,637,,,,924,924,924.0,CHONFCMC_00131,KGGMHOKE_00060,JPPLDLFD_00712
group_300,,hypothetical protein,3,3,1.0,2,636,,,,879,879,879.0,CHONFCMC_00373,KGGMHOKE_00560,JPPLDLFD_00268
rhaS_1,rhaS_1,HTH-type transcriptional activator RhaS,3,3,1.0,2,635,,,,879,879,879.0,CHONFCMC_00240,KGGMHOKE_00426,JPPLDLFD_00444
group_299,,hypothetical protein,3,5,1.6666666666666667,2,633,,,,240,1308,783.6,CHONFCMC_00105,KGGMHOKE_00018,JPPLDLFD_00741;JPPLDLFD_00074;JPPLDLFD_00075
group_298,,hypothetical protein,3,3,1.0,2,632,,,,384,423,397.0,CHONFCMC_00686,KGGMHOKE_00912,JPPLDLFD_00907
uup_4,uup_4;,ATP-binding protein Uup;putative ABC transporter ATP-binding protein,3,3,1.0,2,630,,,,1599,1608,1605.0,CHONFCMC_00468,KGGMHOKE_00647,JPPLDLFD_01278
group_296,,hypothetical protein,3,3,1.0,2,626,,,,603,603,603.0,CHONFCMC_00629,KGGMHOKE_00854,JPPLDLFD_00966
group_294,,hypothetical protein,3,3,1.0,2,624,,,,729,729,729.0,CHONFCMC_00351,KGGMHOKE_00538,JPPLDLFD_00246
group_293,,hypothetical protein,3,3,1.0,2,623,,,,531,531,531.0,CHONFCMC_00119,KGGMHOKE_00035,JPPLDLFD_00724
group_292,,hypothetical protein,3,3,1.0,2,622,,,,885,885,885.0,CHONFCMC_00053,KGGMHOKE_01575,JPPLDLFD_00121
yajO,;yajO,hypothetical protein;1-deoxyxylulose-5-phosphate synthase YajO,3,3,1.0,2,621,,,,378,477,411.0,CHONFCMC_00537,KGGMHOKE_00717,JPPLDLFD_01063
nth_2,nth_2,Endonuclease III,3,3,1.0,2,620,,,,651,651,651.0,CHONFCMC_00535,KGGMHOKE_00715,JPPLDLFD_01065
msrA~~~msrA2,msrA;msrA2,Peptide methionine sulfoxide reductase MsrA;Peptide methionine sulfoxide reductase MsrA 2,3,3,1.0,2,619,,,,558,558,558.0,CHONFCMC_00372,KGGMHOKE_00559,JPPLDLFD_00267
degV_2,degV_2,Protein DegV,3,3,1.0,2,618,,,,888,888,888.0,CHONFCMC_00522,KGGMHOKE_00702,JPPLDLFD_00146
patB,patB;,Cystathionine beta-lyase PatB;hypothetical protein,3,3,1.0,2,617,,,,216,1170,851.0,CHONFCMC_00795,KGGMHOKE_01057,JPPLDLFD_01320
group_291,,hypothetical protein,3,3,1.0,2,616,,,,1215,1278,1236.0,CHONFCMC_00645,KGGMHOKE_00870,JPPLDLFD_00949
group_289,,hypothetical protein,3,3,1.0,2,613,,,,891,891,891.0,CHONFCMC_00644,KGGMHOKE_00869,JPPLDLFD_00950
hdfR_1,hdfR_1,HTH-type transcriptional regulator HdfR,3,3,1.0,2,612,,,,891,891,891.0,CHONFCMC_00524,KGGMHOKE_00704,JPPLDLFD_00144
glcU_1,glcU_1,putative glucose uptake protein GlcU,3,3,1.0,2,611,,,,891,891,891.0,CHONFCMC_00492,KGGMHOKE_00670,JPPLDLFD_00178
pstA,pstA,Phosphate transport system permease protein PstA,3,3,1.0,2,610,,,,891,891,891.0,CHONFCMC_00122,KGGMHOKE_00038,JPPLDLFD_00721
group_288,,hypothetical protein,3,3,1.0,2,609,,,,894,894,894.0,CHONFCMC_00810,KGGMHOKE_01075,JPPLDLFD_01305
cvfB,cvfB,Conserved virulence factor B,3,3,1.0,2,607,,,,894,894,894.0,CHONFCMC_00668,KGGMHOKE_00894,JPPLDLFD_00925
group_286,,hypothetical protein,3,3,1.0,2,605,,,,729,729,729.0,CHONFCMC_00394,KGGMHOKE_00581,JPPLDLFD_00655
truB,truB,tRNA pseudouridine synthase B,3,3,1.0,2,604,,,,894,894,894.0,CHONFCMC_00324,KGGMHOKE_00511,JPPLDLFD_00530
rsgA,rsgA,Small ribosomal subunit biogenesis GTPase RsgA,3,3,1.0,2,603,,,,894,894,894.0,CHONFCMC_00273,KGGMHOKE_00459,JPPLDLFD_00478
group_285,,hypothetical protein,3,3,1.0,2,601,,,,477,477,477.0,CHONFCMC_00688,KGGMHOKE_00949,JPPLDLFD_01426
group_284,,hypothetical protein,3,3,1.0,2,599,,,,1377,1377,1377.0,CHONFCMC_00358,KGGMHOKE_00545,JPPLDLFD_00253
comA_2~~~comA_4,comA_2;comA_4,Transport/processing ATP-binding protein ComA,3,3,1.0,2,598,,,,1584,1584,1584.0,CHONFCMC_00495,KGGMHOKE_00675,JPPLDLFD_00173
group_282,,hypothetical protein,3,3,1.0,2,595,,,,588,588,588.0,CHONFCMC_00073,KGGMHOKE_01604,JPPLDLFD_00101
trmK,trmK,tRNA (adenine(22)-N(1))-methyltransferase,3,3,1.0,2,593,,,,684,684,684.0,CHONFCMC_00385,KGGMHOKE_00572,JPPLDLFD_00284
pnbA,pnbA,4-nitrobenzoate reductase,3,3,1.0,2,592,,,,666,666,666.0,CHONFCMC_00232,KGGMHOKE_00418,JPPLDLFD_01048
aes,aes,Acetyl esterase,3,3,1.0,2,591,,,,903,903,903.0,CHONFCMC_00241,KGGMHOKE_00427,JPPLDLFD_00445
murB,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,3,3,1.0,2,590,,,,906,906,906.0,CHONFCMC_00824,KGGMHOKE_00301,JPPLDLFD_00409
nanK,nanK,N-acetylmannosamine kinase,3,3,1.0,2,589,,,,906,906,906.0,CHONFCMC_00239,KGGMHOKE_00425,JPPLDLFD_00443
uup_6~~~comA_3~~~uup_2,uup_6;comA_3;uup_2,ATP-binding protein Uup;Transport/processing ATP-binding protein ComA,3,3,1.0,2,586,,,,1581,1581,1581.0,CHONFCMC_00494,KGGMHOKE_00674,JPPLDLFD_00174
xerD,xerD,Tyrosine recombinase XerD,3,3,1.0,2,583,,,,909,909,909.0,CHONFCMC_00667,KGGMHOKE_00893,JPPLDLFD_00926
group_279,,GTP cyclohydrolase 1 type 2,3,3,1.0,2,582,,,,798,798,798.0,CHONFCMC_00386,KGGMHOKE_00573,JPPLDLFD_00285
group_278,,hypothetical protein,3,3,1.0,2,581,,,,849,1155,1053.0,CHONFCMC_00655,KGGMHOKE_00881,JPPLDLFD_00938
era,era,GTPase Era,3,3,1.0,2,580,,,,909,909,909.0,CHONFCMC_00379,KGGMHOKE_00566,JPPLDLFD_00274
group_277,,hypothetical protein,3,3,1.0,2,579,,,,666,666,666.0,CHONFCMC_00690,KGGMHOKE_00951,JPPLDLFD_01424
gtaB,gtaB,UTP--glucose-1-phosphate uridylyltransferase,3,3,1.0,2,578,,,,909,909,909.0,CHONFCMC_00151,KGGMHOKE_00079,JPPLDLFD_01025
rluD_1,rluD_1,Ribosomal large subunit pseudouridine synthase D,3,3,1.0,2,576,,,,915,915,915.0,CHONFCMC_00517,KGGMHOKE_00697,JPPLDLFD_00151
oppC,oppC,Oligopeptide transport system permease protein OppC,3,3,1.0,2,575,,,,915,915,915.0,CHONFCMC_00285,KGGMHOKE_00471,JPPLDLFD_00490
pepO_2~~~pepO_1,pepO_2;pepO_1,Neutral endopeptidase,3,3,1.0,2,573,,,,864,1944,1584.0,CHONFCMC_00423,KGGMHOKE_00612,JPPLDLFD_01104
glyQ,glyQ,Glycine--tRNA ligase alpha subunit,3,3,1.0,2,572,,,,918,918,918.0,CHONFCMC_00381,KGGMHOKE_00568,JPPLDLFD_00276
group_274,,hypothetical protein,3,3,1.0,2,571,,,,846,846,846.0,CHONFCMC_00596,KGGMHOKE_00759,JPPLDLFD_00988
group_273,,hypothetical protein,3,3,1.0,2,570,,,,696,699,698.0,CHONFCMC_00138,KGGMHOKE_00066,JPPLDLFD_01138
glsA2,glsA2,Glutaminase 2,3,3,1.0,2,569,,,,921,921,921.0,CHONFCMC_00056,KGGMHOKE_01578,JPPLDLFD_00118
group_271,xerC_2,Tyrosine recombinase XerC,3,3,1.0,2,567,,,,924,924,924.0,CHONFCMC_00633,KGGMHOKE_00858,JPPLDLFD_00962
group_270,,hypothetical protein,3,3,1.0,2,565,,,,561,573,565.0,CHONFCMC_00233,KGGMHOKE_00419,JPPLDLFD_01047
degV_1,degV_1,Protein DegV,3,3,1.0,2,564,,,,924,924,924.0,CHONFCMC_00513,KGGMHOKE_00693,JPPLDLFD_00155
group_269,,hypothetical protein,3,3,1.0,2,563,,,,1227,1227,1227.0,CHONFCMC_00427,KGGMHOKE_00616,JPPLDLFD_01100
asd,asd,Aspartate-semialdehyde dehydrogenase,3,3,1.0,2,562,,,,1059,1059,1059.0,CHONFCMC_00425,KGGMHOKE_00614,JPPLDLFD_01102
pyrDB,pyrDB,Dihydroorotate dehydrogenase B (NAD(+)) catalytic subunit,3,3,1.0,2,561,,,,924,924,924.0,CHONFCMC_00403,KGGMHOKE_00592,JPPLDLFD_00664
group_268,,hypothetical protein,3,3,1.0,2,560,,,,924,924,924.0,CHONFCMC_00150,KGGMHOKE_00078,JPPLDLFD_01026
rbsKrbiA,rbsK/rbiA,Bifunctional ribokinase/ribose-5-phosphate isomerase A,3,3,1.0,2,559,,,,924,924,924.0,CHONFCMC_00129,KGGMHOKE_00058,JPPLDLFD_00714
group_267,,hypothetical protein,3,3,1.0,2,558,,,,885,921,897.0,CHONFCMC_00068,KGGMHOKE_01599,JPPLDLFD_00106
ytlR_1~~~ytlR_2~~~ytlR,ytlR_1;ytlR_2;ytlR,Putative lipid kinase YtlR,3,4,1.3333333333333333,2,557,,,,372,936,694.5,CHONFCMC_00715,KGGMHOKE_00977;KGGMHOKE_00976,JPPLDLFD_01399
fetB~~~fetB_2~~~fetB_1,fetB;fetB_2;fetB_1,putative iron export permease protein FetB,3,4,1.3333333333333333,2,556,,,,216,759,561.0,CHONFCMC_00612,KGGMHOKE_00836,JPPLDLFD_00977;JPPLDLFD_00976
aldC,aldC,Alpha-acetolactate decarboxylase,3,3,1.0,2,555,,,,717,717,717.0,CHONFCMC_00610,KGGMHOKE_00834,JPPLDLFD_00979
group_266,,hypothetical protein,3,3,1.0,2,554,,,,1017,1356,1130.0,CHONFCMC_00062,KGGMHOKE_01590,JPPLDLFD_00112
rihB,rihB,Pyrimidine-specific ribonucleoside hydrolase RihB,3,3,1.0,2,553,,,,927,927,927.0,CHONFCMC_00681,KGGMHOKE_00907,JPPLDLFD_00912
group_265,,hypothetical protein,3,3,1.0,2,552,,,,438,438,438.0,CHONFCMC_00235,KGGMHOKE_00421,JPPLDLFD_01045
ldh_1,ldh_1,L-lactate dehydrogenase,3,3,1.0,2,551,,,,927,927,927.0,CHONFCMC_00357,KGGMHOKE_00544,JPPLDLFD_00252
dapX,dapX,putative N-acetyl-LL-diaminopimelate aminotransferase,3,3,1.0,2,550,,,,1185,1185,1185.0,CHONFCMC_00369,KGGMHOKE_00556,JPPLDLFD_00264
group_264,,hypothetical protein,3,3,1.0,2,549,,,,594,606,598.0,CHONFCMC_00108,KGGMHOKE_00021,JPPLDLFD_00738
rnz,rnz,Ribonuclease Z,3,3,1.0,2,548,,,,930,930,930.0,CHONFCMC_00677,KGGMHOKE_00903,JPPLDLFD_00916
group_263,,hypothetical protein,3,3,1.0,2,544,,,,315,315,315.0,CHONFCMC_00114,KGGMHOKE_00030,JPPLDLFD_00730
group_262,,hypothetical protein,3,3,1.0,2,543,,,,495,495,495.0,CHONFCMC_00503,KGGMHOKE_00683,JPPLDLFD_00165
galK_2~~~galK_1,galK_2;galK_1,Galactokinase,3,3,1.0,2,542,,,,918,918,918.0,CHONFCMC_00499,KGGMHOKE_00679,JPPLDLFD_00169
ppaC,ppaC,putative manganese-dependent inorganic pyrophosphatase,3,3,1.0,2,541,,,,936,936,936.0,CHONFCMC_00529,KGGMHOKE_00709,JPPLDLFD_00139
ribCF,ribCF,Bifunctional riboflavin kinase/FMN adenylyltransferase,3,3,1.0,2,540,,,,939,939,939.0,CHONFCMC_00325,KGGMHOKE_00512,JPPLDLFD_00531
whiA,whiA,putative cell division protein WhiA,3,3,1.0,2,539,,,,942,942,942.0,CHONFCMC_00845,KGGMHOKE_00280,JPPLDLFD_00430
mrr,mrr,Type IV methyl-directed restriction enzyme EcoKMrr,3,3,1.0,2,538,,,,942,942,942.0,CHONFCMC_00647,KGGMHOKE_00872,JPPLDLFD_00948
fmt,fmt,Methionyl-tRNA formyltransferase,3,3,1.0,2,534,,,,945,945,945.0,CHONFCMC_00269,KGGMHOKE_00455,JPPLDLFD_00474
rsmH,rsmH,Ribosomal RNA small subunit methyltransferase H,3,3,1.0,2,531,,,,948,948,948.0,CHONFCMC_00739,KGGMHOKE_01002,JPPLDLFD_01375
group_256,,hypothetical protein,3,3,1.0,2,528,,,,720,720,720.0,CHONFCMC_00586,KGGMHOKE_00749,JPPLDLFD_00999
levG_2~~~levG_1~~~levG,levG_2;levG_1;levG,Levansucrase,3,5,1.6666666666666667,2,526,,,,1032,2307,1388.4,CHONFCMC_00797,KGGMHOKE_01060;KGGMHOKE_01059,JPPLDLFD_01318;JPPLDLFD_01319
arcD~~~aaxC_2~~~aaxC_1~~~aaxC,arcD;aaxC_2;aaxC_1;aaxC,Arginine/ornithine antiporter;Arginine/agmatine antiporter,3,5,1.6666666666666667,2,525,,,,312,1434,855.6,CHONFCMC_00076,KGGMHOKE_01609;KGGMHOKE_01607;KGGMHOKE_01608,JPPLDLFD_00098
atpG,atpG,ATP synthase gamma chain,3,3,1.0,2,524,,,,957,957,957.0,CHONFCMC_00771,KGGMHOKE_01033,JPPLDLFD_01344
pyrB,pyrB,Aspartate carbamoyltransferase catalytic subunit,3,3,1.0,2,523,,,,957,957,957.0,CHONFCMC_00405,KGGMHOKE_00594,JPPLDLFD_00666
thyA,thyA,Thymidylate synthase,3,3,1.0,2,522,,,,957,957,957.0,CHONFCMC_00338,KGGMHOKE_00525,JPPLDLFD_00566
mraY,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,3,3,1.0,2,521,,,,960,960,960.0,CHONFCMC_00736,KGGMHOKE_00999,JPPLDLFD_01378
pfkA,pfkA,ATP-dependent 6-phosphofructokinase,3,3,1.0,2,520,,,,960,960,960.0,CHONFCMC_00670,KGGMHOKE_00896,JPPLDLFD_00923
group_254,,hypothetical protein,3,3,1.0,2,519,,,,291,684,553.0,CHONFCMC_00607,KGGMHOKE_00831,JPPLDLFD_00982
group_253,,PhoH-like protein,3,3,1.0,2,518,,,,960,960,960.0,CHONFCMC_00377,KGGMHOKE_00564,JPPLDLFD_00272
btuD_1,btuD_1,Vitamin B12 import ATP-binding protein BtuD,3,3,1.0,2,517,,,,960,960,960.0,CHONFCMC_00154,KGGMHOKE_00402,JPPLDLFD_01023
rhaS_1~~~rhaR_1,rhaS_1;rhaR_1,HTH-type transcriptional activator RhaS;HTH-type transcriptional activator RhaR,3,3,1.0,2,516,,,,837,837,837.0,CHONFCMC_00038,KGGMHOKE_01559,JPPLDLFD_00135
rbsD_2~~~rbsD_1~~~rbsD,rbsD_2;rbsD_1;rbsD,D-ribose pyranase,3,4,1.3333333333333333,2,515,,,,186,396,294.0,CHONFCMC_00491,KGGMHOKE_00669,JPPLDLFD_00180;JPPLDLFD_00179
oppB,oppB,Oligopeptide transport system permease protein OppB,3,3,1.0,2,513,,,,963,963,963.0,CHONFCMC_00284,KGGMHOKE_00470,JPPLDLFD_00489
thrB_2,thrB_2,Homoserine kinase,3,3,1.0,2,512,,,,966,966,966.0,CHONFCMC_00498,KGGMHOKE_00678,JPPLDLFD_00170
cynR~~~hdfR_2,;cynR;hdfR_2,hypothetical protein;HTH-type transcriptional regulator CynR;HTH-type transcriptional regulator HdfR,3,4,1.3333333333333333,2,511,,,,426,954,708.0,CHONFCMC_00530,KGGMHOKE_00710,JPPLDLFD_01070;JPPLDLFD_01071
oppF,oppF,Oligopeptide transport ATP-binding protein OppF,3,3,1.0,2,510,,,,969,969,969.0,CHONFCMC_00283,KGGMHOKE_00469,JPPLDLFD_00488
mltF_2~~~artQ~~~mltF_1,mltF_2;artQ;mltF_1,Membrane-bound lytic murein transglycosylase F;Arginine transport system permease protein ArtQ,3,4,1.3333333333333333,2,509,,,,627,1497,1092.0,CHONFCMC_00117,KGGMHOKE_00033,JPPLDLFD_00727;JPPLDLFD_00726
group_251,,hypothetical protein,3,4,1.3333333333333333,2,508,,,,363,1323,984.0,CHONFCMC_00250,KGGMHOKE_00436,JPPLDLFD_00455;JPPLDLFD_00454
spsB_2,spsB_2,Signal peptidase IB,3,3,1.0,2,504,,,,573,573,573.0,CHONFCMC_00393,KGGMHOKE_00580,JPPLDLFD_00654
pta,pta,Phosphate acetyltransferase,3,3,1.0,2,502,,,,978,978,978.0,CHONFCMC_00827,KGGMHOKE_00298,JPPLDLFD_00412
group_249,,DegV domain-containing protein,3,4,1.3333333333333333,2,501,,,,327,858,645.75,CHONFCMC_00641,KGGMHOKE_00866,JPPLDLFD_00954;JPPLDLFD_00953
group_248,,hypothetical protein,3,3,1.0,2,500,,,,978,978,978.0,CHONFCMC_00395,KGGMHOKE_00582,JPPLDLFD_00656
lacE_2~~~lacE_3~~~lacE_1,lacE_2;lacE_3;lacE_1,PTS system lactose-specific EIICB component,3,4,1.3333333333333333,2,499,,,,771,1698,1265.25,CHONFCMC_00051,KGGMHOKE_01572;KGGMHOKE_01573,JPPLDLFD_00123
group_247,,hypothetical protein,3,3,1.0,2,498,,,,264,303,290.0,CHONFCMC_00473,KGGMHOKE_00652,JPPLDLFD_01297
cbh_1,cbh_1,Bile salt hydrolase/transferase,3,3,1.0,2,496,,,,981,981,981.0,CHONFCMC_00348,KGGMHOKE_00535,JPPLDLFD_00576
galM,galM,Aldose 1-epimerase,3,3,1.0,2,492,,,,987,987,987.0,CHONFCMC_00852,KGGMHOKE_00273,JPPLDLFD_00437
