Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_jensenii__UMB0732__GCA_030218485.1,Lactobacillus_jensenii__UMB10187__GCA_030211725.1,Lactobacillus_jensenii__UMB7786__GCA_030215165.1
glnQ_2,glnQ_2,Glutamine transport ATP-binding protein GlnQ,3,3,1.0,9,32,,,,774,774,774.0,BDMKMOGB_01521,IAAMHMBP_01488,PKFCGPHH_00180
group_249,,hypothetical protein,3,3,1.0,9,31,,,,369,369,369.0,BDMKMOGB_01503,IAAMHMBP_01506,PKFCGPHH_00161
mdtH,mdtH,Multidrug resistance protein MdtH,3,3,1.0,9,30,,,,1215,1215,1215.0,BDMKMOGB_01511,IAAMHMBP_01498,PKFCGPHH_00169
group_248,,hypothetical protein,3,3,1.0,9,29,,,,1377,1377,1377.0,BDMKMOGB_01517,IAAMHMBP_01492,PKFCGPHH_00176
gpmA_4,gpmA_4,23-bisphosphoglycerate-dependent phosphoglycerate mutase,3,3,1.0,9,28,,,,693,693,693.0,BDMKMOGB_01494,IAAMHMBP_01515,PKFCGPHH_00152
treA,treA,Trehalose-6-phosphate hydrolase,3,3,1.0,9,27,,,,1656,1656,1656.0,BDMKMOGB_01497,IAAMHMBP_01512,PKFCGPHH_00155
group_247,,putative ABC transporter ATP-binding protein,3,3,1.0,9,26,,,,702,702,702.0,BDMKMOGB_01499,IAAMHMBP_01510,PKFCGPHH_00157
msmE,msmE;,Multiple sugar-binding protein;hypothetical protein,3,4,1.3333333333333333,9,25,,,,423,1293,981.75,BDMKMOGB_01512,IAAMHMBP_01497,PKFCGPHH_00171;PKFCGPHH_00170
clahy,cla-hy,Linoleate hydratase,3,3,1.0,9,24,,,,1692,1692,1692.0,BDMKMOGB_00436,IAAMHMBP_01522,PKFCGPHH_00278
glmU,glmU,Bifunctional protein GlmU,3,3,1.0,9,23,,,,1386,1386,1386.0,BDMKMOGB_00418,IAAMHMBP_01540,PKFCGPHH_00296
group_246,,hypothetical protein,3,3,1.0,9,22,,,,537,537,537.0,BDMKMOGB_00426,IAAMHMBP_01532,PKFCGPHH_00288
yjjB,yjjB,succinate transporter subunit YjjB,3,3,1.0,9,21,,,,459,459,459.0,BDMKMOGB_01500,IAAMHMBP_01509,PKFCGPHH_00158
treR,treR,HTH-type transcriptional regulator TreR,3,3,1.0,9,20,,,,714,714,714.0,BDMKMOGB_01496,IAAMHMBP_01513,PKFCGPHH_00154
group_245,,hypothetical protein,3,3,1.0,9,19,,,,2544,2544,2544.0,BDMKMOGB_01498,IAAMHMBP_01511,PKFCGPHH_00156
veg,veg,Protein Veg,3,3,1.0,9,18,,,,234,234,234.0,BDMKMOGB_00420,IAAMHMBP_01538,PKFCGPHH_00294
prs_1,prs_1,Ribose-phosphate pyrophosphokinase,3,3,1.0,9,17,,,,966,966,966.0,BDMKMOGB_00416,IAAMHMBP_01542,PKFCGPHH_00298
group_244,,hypothetical protein,3,3,1.0,9,16,,,,801,801,801.0,BDMKMOGB_01520,IAAMHMBP_01489,PKFCGPHH_00179
group_243,,hypothetical protein,3,3,1.0,9,15,,,,717,717,717.0,BDMKMOGB_01514,IAAMHMBP_01495,PKFCGPHH_00173
tyrS,tyrS,Tyrosine--tRNA ligase,3,3,1.0,9,14,,,,1263,1263,1263.0,BDMKMOGB_01491,IAAMHMBP_01518,PKFCGPHH_00274
group_242,,hypothetical protein,3,3,1.0,9,13,,,,801,801,801.0,BDMKMOGB_01417,IAAMHMBP_01485,PKFCGPHH_00183
mgtB,mgtB,Magnesium-transporting ATPase P-type 1,3,3,1.0,9,12,,,,2685,2685,2685.0,BDMKMOGB_00425,IAAMHMBP_01533,PKFCGPHH_00289
greA_1,greA_1,Transcription elongation factor GreA,3,3,1.0,9,11,,,,462,462,462.0,BDMKMOGB_00433,IAAMHMBP_01525,PKFCGPHH_00281
rsmA,rsmA,Ribosomal RNA small subunit methyltransferase A,3,3,1.0,9,10,,,,885,885,885.0,BDMKMOGB_00421,IAAMHMBP_01537,PKFCGPHH_00293
group_241,,hypothetical protein,3,3,1.0,9,9,,,,888,888,888.0,BDMKMOGB_01507,IAAMHMBP_01502,PKFCGPHH_00165
group_240,,hypothetical protein,3,3,1.0,9,8,,,,1788,1788,1788.0,BDMKMOGB_01505,IAAMHMBP_01504,PKFCGPHH_00163
phnE,phnE,Phosphate-import permease protein PhnE,3,3,1.0,9,7,,,,813,813,813.0,BDMKMOGB_01519,IAAMHMBP_01490,PKFCGPHH_00178
ntd_2,ntd_2,Nucleoside deoxyribosyltransferase,3,3,1.0,9,6,,,,477,477,477.0,BDMKMOGB_01416,IAAMHMBP_01484,PKFCGPHH_00184
brpA,brpA,Biofilm regulatory protein A,3,3,1.0,9,5,,,,1143,1143,1143.0,BDMKMOGB_01493,IAAMHMBP_01516,PKFCGPHH_00151
rnmV,rnmV,Ribonuclease M5,3,3,1.0,9,4,,,,564,564,564.0,BDMKMOGB_00422,IAAMHMBP_01536,PKFCGPHH_00292
group_239,,hypothetical protein,3,3,1.0,9,3,,,,570,582,574.0,BDMKMOGB_01513,IAAMHMBP_01496,PKFCGPHH_00172
group_238,,hypothetical protein,3,3,1.0,9,2,,,,405,405,405.0,BDMKMOGB_01508,IAAMHMBP_01501,PKFCGPHH_00166
group_237,,Putative universal stress protein,3,3,1.0,9,1,,,,483,483,483.0,BDMKMOGB_01523,IAAMHMBP_01486,PKFCGPHH_00182
group_236,,hypothetical protein,3,3,1.0,8,128,,,,738,738,738.0,BDMKMOGB_00786,IAAMHMBP_01632,PKFCGPHH_00731
group_235,,hypothetical protein,3,3,1.0,8,127,,,,1149,1149,1149.0,BDMKMOGB_00296,IAAMHMBP_01584,PKFCGPHH_01544
artM,artM,Arginine transport ATP-binding protein ArtM,3,3,1.0,8,126,,,,747,747,747.0,BDMKMOGB_01118,IAAMHMBP_01677,PKFCGPHH_01155
group_234,,hypothetical protein,3,3,1.0,8,125,,,,717,843,801.0,BDMKMOGB_00291,IAAMHMBP_01676,PKFCGPHH_01156
group_233,,hypothetical protein,3,3,1.0,8,124,,,,804,828,812.0,BDMKMOGB_00979,IAAMHMBP_01626,PKFCGPHH_00902
group_232,,hypothetical protein,3,3,1.0,8,123,,,,213,1146,835.0,BDMKMOGB_01260,IAAMHMBP_01568,PKFCGPHH_01549
ribBA,ribBA,Riboflavin biosynthesis protein RibBA,3,3,1.0,8,122,,,,1176,1176,1176.0,BDMKMOGB_00330,IAAMHMBP_01546,PKFCGPHH_01571
natA,natA,ABC transporter ATP-binding protein NatA,3,3,1.0,8,121,,,,768,768,768.0,BDMKMOGB_00785,IAAMHMBP_01631,PKFCGPHH_00730
group_231,,hypothetical protein,3,3,1.0,8,120,,,,438,438,438.0,BDMKMOGB_00280,IAAMHMBP_01666,PKFCGPHH_00547
group_228,,hypothetical protein,3,3,1.0,8,117,,,,114,114,114.0,BDMKMOGB_00263,IAAMHMBP_01648,PKFCGPHH_00530
group_227,,hypothetical protein,3,3,1.0,8,116,,,,1227,1227,1227.0,BDMKMOGB_00290,IAAMHMBP_01675,PKFCGPHH_00556
group_226,,Putative phosphatase,3,3,1.0,8,115,,,,789,789,789.0,BDMKMOGB_00281,IAAMHMBP_01667,PKFCGPHH_00548
group_225,,hypothetical protein,3,3,1.0,8,114,,,,135,135,135.0,BDMKMOGB_00264,IAAMHMBP_01649,PKFCGPHH_00531
ywnA_1,ywnA_1,Putative HTH-type transcriptional regulator YwnA,3,3,1.0,8,112,,,,453,453,453.0,BDMKMOGB_00318,IAAMHMBP_01558,PKFCGPHH_01559
rplI,rplI,Large ribosomal subunit protein bL9,3,3,1.0,8,111,,,,453,453,453.0,BDMKMOGB_00298,IAAMHMBP_01586,PKFCGPHH_01542
rpmH,rpmH,Large ribosomal subunit protein bL34,3,3,1.0,8,110,,,,141,141,141.0,BDMKMOGB_00309,IAAMHMBP_01597,PKFCGPHH_01531
walJ,walJ,Exodeoxyribonuclease WalJ,3,3,1.0,8,107,,,,798,798,798.0,BDMKMOGB_01268,IAAMHMBP_01627,PKFCGPHH_00901
ribH,ribH,67-dimethyl-8-ribityllumazine synthase,3,3,1.0,8,106,,,,465,465,465.0,BDMKMOGB_00329,IAAMHMBP_01547,PKFCGPHH_01570
group_221,,hypothetical protein,3,3,1.0,8,105,,,,1266,1266,1266.0,BDMKMOGB_00288,IAAMHMBP_01673,PKFCGPHH_00554
group_220,,hypothetical protein,3,3,1.0,8,103,,,,807,807,807.0,BDMKMOGB_00317,IAAMHMBP_01559,PKFCGPHH_01558
group_219,,hypothetical protein,3,3,1.0,8,102,,,,1272,1272,1272.0,BDMKMOGB_00286,IAAMHMBP_01671,PKFCGPHH_00552
htrA,htrA,Serine protease Do-like HtrA,3,3,1.0,8,101,,,,1275,1275,1275.0,BDMKMOGB_01269,IAAMHMBP_01628,PKFCGPHH_00900
group_218,,hypothetical protein,3,3,1.0,8,100,,,,477,477,477.0,BDMKMOGB_01258,IAAMHMBP_01566,PKFCGPHH_01551
group_217,,hypothetical protein,3,3,1.0,8,99,,,,171,171,171.0,0_refound_1,IAAMHMBP_01660,2_refound_7
group_216,,hypothetical protein,3,3,1.0,8,98,,,,813,813,813.0,BDMKMOGB_00316,IAAMHMBP_01560,PKFCGPHH_01557
group_215,,hypothetical protein,3,3,1.0,8,97,,,,477,477,477.0,BDMKMOGB_01113,IAAMHMBP_01682,PKFCGPHH_01150
bfrA,bfrA,Beta-fructosidase,3,3,1.0,8,96,,,,1287,1287,1287.0,BDMKMOGB_00271,IAAMHMBP_01656,PKFCGPHH_00538
group_214,,hypothetical protein,3,3,1.0,8,95,,,,1287,1287,1287.0,BDMKMOGB_00268,IAAMHMBP_01653,PKFCGPHH_00535
group_213,,hypothetical protein,3,3,1.0,8,94,,,,174,174,174.0,BDMKMOGB_00273,IAAMHMBP_01658,PKFCGPHH_00540
efpA,efpA,putative MFS-type transporter EfpA,3,3,1.0,8,92,,,,1302,1302,1302.0,BDMKMOGB_00984,IAAMHMBP_01621,PKFCGPHH_00907
exoA,exoA,Exodeoxyribonuclease,3,3,1.0,8,91,,,,828,828,828.0,BDMKMOGB_00321,IAAMHMBP_01555,PKFCGPHH_01562
group_211,,hypothetical protein,3,3,1.0,8,90,,,,492,492,492.0,BDMKMOGB_00275,IAAMHMBP_01661,PKFCGPHH_00542
levE,levE,PTS system fructose-specific EIIB component,3,3,1.0,8,89,,,,504,504,504.0,BDMKMOGB_00279,IAAMHMBP_01665,PKFCGPHH_00546
ytcP,ytcP,Polygalacturonan/rhamnogalacturonan transport system permease protein YtcP,3,3,1.0,8,88,,,,846,846,846.0,BDMKMOGB_00270,IAAMHMBP_01655,PKFCGPHH_00537
group_210,,Putative phosphatase,3,3,1.0,8,87,,,,849,849,849.0,BDMKMOGB_01257,IAAMHMBP_01565,PKFCGPHH_01552
ssb_2,ssb_2,Single-stranded DNA-binding protein,3,3,1.0,8,86,,,,516,516,516.0,BDMKMOGB_00301,IAAMHMBP_01589,PKFCGPHH_01539
group_209,,hypothetical protein,3,3,1.0,8,85,,,,1353,1353,1353.0,BDMKMOGB_00980,IAAMHMBP_01625,PKFCGPHH_00903
group_208,,hypothetical protein,3,3,1.0,8,84,,,,849,849,849.0,BDMKMOGB_00289,IAAMHMBP_01674,PKFCGPHH_00555
rlmH,rlmH,Ribosomal RNA large subunit methyltransferase H,3,3,1.0,8,83,,,,519,519,519.0,BDMKMOGB_01270,IAAMHMBP_01629,PKFCGPHH_00899
licC_3,licC_3,Lichenan permease IIC component,3,3,1.0,8,82,,,,1362,1362,1362.0,BDMKMOGB_00315,IAAMHMBP_01561,PKFCGPHH_01556
sorA_1,sorA_1,PTS system sorbose-specific EIIC component,3,3,1.0,8,81,,,,852,852,852.0,BDMKMOGB_00278,IAAMHMBP_01664,PKFCGPHH_00545
brnQ,brnQ,Branched-chain amino acid permease BrnQ,3,3,1.0,8,80,,,,1365,1365,1365.0,BDMKMOGB_00333,IAAMHMBP_01613,PKFCGPHH_01574
dnaA,dnaA,Chromosomal replication initiator protein DnaA,3,3,1.0,8,79,,,,1368,1368,1368.0,BDMKMOGB_00308,IAAMHMBP_01596,PKFCGPHH_01532
dnaB_1,dnaB_1,Replicative DNA helicase DnaB,3,3,1.0,8,78,,,,1368,1368,1368.0,BDMKMOGB_00297,IAAMHMBP_01585,PKFCGPHH_01543
group_207,,hypothetical protein,3,3,1.0,8,77,,,,213,213,213.0,BDMKMOGB_01112,IAAMHMBP_01683,PKFCGPHH_01149
group_206,,Aldo-keto reductase/MSMEI_2347,3,3,1.0,8,76,,,,858,858,858.0,BDMKMOGB_00323,IAAMHMBP_01553,PKFCGPHH_01564
misCA,misCA,Membrane protein insertase MisCA,3,3,1.0,8,75,,,,858,858,858.0,BDMKMOGB_00311,IAAMHMBP_01599,PKFCGPHH_01529
group_205,,hypothetical protein,3,3,1.0,8,74,,,,216,216,216.0,BDMKMOGB_00306,IAAMHMBP_01594,PKFCGPHH_01534
dkgA,dkgA,Methylglyoxal reductase DkgA,3,3,1.0,8,73,,,,861,861,861.0,BDMKMOGB_00987,IAAMHMBP_01618,PKFCGPHH_00910
ykoD,ykoD,Putative HMP/thiamine import ATP-binding protein YkoD,3,3,1.0,8,72,,,,1377,1377,1377.0,BDMKMOGB_00791,IAAMHMBP_01637,PKFCGPHH_00736
hdfR,hdfR,HTH-type transcriptional regulator HdfR,3,3,1.0,8,71,,,,864,864,864.0,BDMKMOGB_00986,IAAMHMBP_01619,PKFCGPHH_00909
mnmE,mnmE,tRNA modification GTPase MnmE,3,3,1.0,8,70,,,,1386,1386,1386.0,BDMKMOGB_00312,IAAMHMBP_01600,PKFCGPHH_01528
group_204,,hypothetical protein,3,3,1.0,8,69,,,,231,231,231.0,BDMKMOGB_00989,IAAMHMBP_01616,PKFCGPHH_00912
lacF_1,lacF_1,Lactose transport system permease protein LacF,3,3,1.0,8,68,,,,876,876,876.0,BDMKMOGB_00269,IAAMHMBP_01654,PKFCGPHH_00536
sdhA,sdhA,L-serine dehydratase alpha chain,3,3,1.0,8,67,,,,882,882,882.0,BDMKMOGB_00796,IAAMHMBP_01642,PKFCGPHH_00741
rpsR,rpsR,Small ribosomal subunit protein bS18,3,3,1.0,8,66,,,,237,237,237.0,BDMKMOGB_00300,IAAMHMBP_01588,PKFCGPHH_01540
bglA,bglA,6-phospho-beta-glucosidase BglA,3,3,1.0,8,64,,,,1440,1440,1440.0,BDMKMOGB_01259,IAAMHMBP_01567,PKFCGPHH_01550
lemA,lemA,Protein LemA,3,3,1.0,8,63,,,,561,561,561.0,BDMKMOGB_00799,IAAMHMBP_01645,PKFCGPHH_00744
htpX,htpX,Protease HtpX,3,3,1.0,8,62,,,,897,897,897.0,BDMKMOGB_00798,IAAMHMBP_01644,PKFCGPHH_00743
group_202,,hypothetical protein,3,3,1.0,8,61,,,,564,564,564.0,BDMKMOGB_00789,IAAMHMBP_01635,PKFCGPHH_00734
mdtP,mdtP,Multidrug transporter protein MdtP,3,3,1.0,8,60,,,,1473,1473,1473.0,BDMKMOGB_00792,IAAMHMBP_01638,PKFCGPHH_00737
group_201,,hypothetical protein,3,3,1.0,8,59,,,,915,915,915.0,BDMKMOGB_00266,IAAMHMBP_01651,PKFCGPHH_00533
lacA,lacA,Galactoside O-acetyltransferase,3,3,1.0,8,58,,,,594,594,594.0,BDMKMOGB_00274,IAAMHMBP_01659,PKFCGPHH_00541
benM,benM,HTH-type transcriptional regulator BenM,3,3,1.0,8,56,,,,924,924,924.0,BDMKMOGB_00334,IAAMHMBP_01614,PKFCGPHH_01575
msbA,msbA,ATP-dependent lipid A-core flippase,3,3,1.0,8,55,,,,1572,1572,1572.0,BDMKMOGB_00788,IAAMHMBP_01634,PKFCGPHH_00733
higB1,higB-1,Toxin HigB-1,3,3,1.0,8,54,,,,285,285,285.0,BDMKMOGB_00292,IAAMHMBP_01569,PKFCGPHH_01548
group_199,,hypothetical protein,3,3,1.0,8,53,,,,606,606,606.0,BDMKMOGB_00985,IAAMHMBP_01620,PKFCGPHH_00908
mltF,mltF,Membrane-bound lytic murein transglycosylase F,3,3,1.0,8,52,,,,1605,1605,1605.0,BDMKMOGB_01117,IAAMHMBP_01678,PKFCGPHH_01154
group_198,,hypothetical protein,3,3,1.0,8,51,,,,288,288,288.0,BDMKMOGB_00293,IAAMHMBP_01570,PKFCGPHH_01547
ribE,ribE,Riboflavin synthase,3,3,1.0,8,50,,,,606,606,606.0,BDMKMOGB_00331,IAAMHMBP_01545,PKFCGPHH_01572
rhaS_2,rhaS_2,HTH-type transcriptional activator RhaS,3,3,1.0,8,49,,,,942,942,942.0,BDMKMOGB_00793,IAAMHMBP_01639,PKFCGPHH_00738
rpsF,rpsF,Small ribosomal subunit protein bS6,3,3,1.0,8,48,,,,294,294,294.0,BDMKMOGB_00302,IAAMHMBP_01590,PKFCGPHH_01538
group_197,,hypothetical protein,3,3,1.0,8,47,,,,300,300,300.0,BDMKMOGB_00276,IAAMHMBP_01662,PKFCGPHH_00543
rbsB_1,rbsB_1,Ribose import binding protein RbsB,3,3,1.0,8,46,,,,963,963,963.0,BDMKMOGB_00282,IAAMHMBP_01668,PKFCGPHH_00549
group_196,,Putative 3-methyladenine DNA glycosylase,3,3,1.0,8,45,,,,633,633,633.0,BDMKMOGB_01116,IAAMHMBP_01679,PKFCGPHH_01153
ptcB,ptcB,PTS system galactose-specific EIIB component,3,3,1.0,8,44,,,,318,318,318.0,BDMKMOGB_01255,IAAMHMBP_01563,PKFCGPHH_01554
yfbR,yfbR,5'-deoxynucleotidase YfbR,3,3,1.0,8,43,,,,642,642,642.0,BDMKMOGB_00265,IAAMHMBP_01650,PKFCGPHH_00532
group_195,,hypothetical protein,3,3,1.0,8,42,,,,1803,1803,1803.0,BDMKMOGB_00794,IAAMHMBP_01640,PKFCGPHH_00739
pox5,pox5,Pyruvate oxidase,3,3,1.0,8,41,,,,1809,1809,1809.0,BDMKMOGB_00314,IAAMHMBP_01602,PKFCGPHH_01526
ccpA_1,ccpA_1,Catabolite control protein A,3,3,1.0,8,40,,,,984,984,984.0,BDMKMOGB_00267,IAAMHMBP_01652,PKFCGPHH_00534
sufT,sufT,Fe-S protein maturation auxiliary factor SufT,3,3,1.0,8,39,,,,327,327,327.0,BDMKMOGB_00797,IAAMHMBP_01643,PKFCGPHH_00742
group_194,,hypothetical protein,3,3,1.0,8,38,,,,327,327,327.0,BDMKMOGB_00325,IAAMHMBP_01551,PKFCGPHH_01566
ybiR,ybiR;,Inner membrane protein YbiR;hypothetical protein,3,4,1.3333333333333333,8,37,,,,459,1119,806.25,BDMKMOGB_00261;BDMKMOGB_00800,IAAMHMBP_01646,PKFCGPHH_00528
walK,walK,Sensor histidine kinase WalK,3,3,1.0,8,36,,,,1866,1866,1866.0,BDMKMOGB_00981,IAAMHMBP_01624,PKFCGPHH_00904
adhT,adhT,Alcohol dehydrogenase,3,3,1.0,8,35,,,,999,999,999.0,BDMKMOGB_00319,IAAMHMBP_01557,PKFCGPHH_01560
mnmG,mnmG,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,3,3,1.0,8,34,,,,1905,1905,1905.0,BDMKMOGB_00313,IAAMHMBP_01601,PKFCGPHH_01527
group_193,,hypothetical protein,3,4,1.3333333333333333,8,33,,,,378,1317,924.0,BDMKMOGB_00283;BDMKMOGB_00284,IAAMHMBP_01669,PKFCGPHH_00550
group_192,,D-lactate dehydrogenase,3,3,1.0,8,32,,,,1002,1002,1002.0,BDMKMOGB_00328,IAAMHMBP_01548,PKFCGPHH_01569
group_191,,hypothetical protein,3,3,1.0,8,31,,,,663,663,663.0,BDMKMOGB_00795,IAAMHMBP_01641,PKFCGPHH_00740
group_190,,hypothetical protein,3,3,1.0,8,30,,,,663,663,663.0,BDMKMOGB_00790,IAAMHMBP_01636,PKFCGPHH_00735
hmo,hmo,4-hydroxymandelate oxidase,3,3,1.0,8,29,,,,1011,1011,1011.0,BDMKMOGB_00287,IAAMHMBP_01672,PKFCGPHH_00553
gyrB,gyrB,DNA gyrase subunit B,3,3,1.0,8,28,,,,1956,1956,1956.0,BDMKMOGB_00304,IAAMHMBP_01592,PKFCGPHH_01536
gdpP,gdpP,Cyclic-di-AMP phosphodiesterase GdpP,3,3,1.0,8,27,,,,2019,2019,2019.0,BDMKMOGB_00299,IAAMHMBP_01587,PKFCGPHH_01541
lnrK,lnrK,Transcriptional regulatory protein LnrK,3,3,1.0,8,26,,,,672,672,672.0,BDMKMOGB_00285,IAAMHMBP_01670,PKFCGPHH_00551
group_189,,hypothetical protein,3,3,1.0,8,25,,,,363,363,363.0,BDMKMOGB_01115,IAAMHMBP_01680,PKFCGPHH_01152
group_188,,hypothetical protein,3,3,1.0,8,24,,,,1371,1458,1429.0,BDMKMOGB_01111,IAAMHMBP_01684,PKFCGPHH_01148
urdA_3~~~urdA_2,urdA_3;urdA_2,Urocanate reductase,3,5,1.6666666666666667,8,23,,,,192,1842,1068.0,BDMKMOGB_00335;BDMKMOGB_00990,IAAMHMBP_01615,PKFCGPHH_01576;PKFCGPHH_00913
ribD,ribD,Riboflavin biosynthesis protein RibD,3,3,1.0,8,22,,,,1080,1080,1080.0,BDMKMOGB_00332,IAAMHMBP_01544,PKFCGPHH_01573
rnpA,rnpA,Ribonuclease P protein component,3,3,1.0,8,21,,,,369,369,369.0,BDMKMOGB_00310,IAAMHMBP_01598,PKFCGPHH_01530
cobB,cobB,NAD-dependent protein deacetylase,3,3,1.0,8,20,,,,696,696,696.0,BDMKMOGB_01114,IAAMHMBP_01681,PKFCGPHH_01151
mutS2_2~~~mutSB_1~~~mutS2~~~mutS2_1,mutS2_2;mutSB_1;mutS2;mutS2_1,Endonuclease MutS2;Putative endonuclease MutS2,3,5,1.6666666666666667,8,19,,,,732,1887,1101.6,BDMKMOGB_00784;BDMKMOGB_01271,IAAMHMBP_01630,PKFCGPHH_00898;PKFCGPHH_00729
msmX_1,msmX_1,Oligosaccharides import ATP-binding protein MsmX,3,3,1.0,8,17,,,,1104,1104,1104.0,BDMKMOGB_00272,IAAMHMBP_01657,PKFCGPHH_00539
gyrA,gyrA,DNA gyrase subunit A GyrA,3,3,1.0,8,16,,,,2478,2478,2478.0,BDMKMOGB_00303,IAAMHMBP_01591,PKFCGPHH_01537
yfnB,yfnB,Putative HAD-hydrolase YfnB,3,3,1.0,8,15,,,,708,708,708.0,BDMKMOGB_00326,IAAMHMBP_01550,PKFCGPHH_01567
group_186,,hypothetical protein,3,3,1.0,8,14,,,,708,708,708.0,BDMKMOGB_00295,IAAMHMBP_01583,PKFCGPHH_01545
group_185,,hypothetical protein,3,3,1.0,8,13,,,,387,387,387.0,BDMKMOGB_01254,IAAMHMBP_01562,PKFCGPHH_01555
walR,walR,Transcriptional regulatory protein WalR,3,3,1.0,8,12,,,,714,714,714.0,BDMKMOGB_00982,IAAMHMBP_01623,PKFCGPHH_00905
group_184,,hypothetical protein,3,3,1.0,8,11,,,,714,714,714.0,BDMKMOGB_00324,IAAMHMBP_01552,PKFCGPHH_01565
manZ_1,manZ_1,PTS system mannose-specific EIID component,3,3,1.0,8,9,,,,744,837,806.0,BDMKMOGB_00277,IAAMHMBP_01663,PKFCGPHH_00544
group_182,,hypothetical protein,3,3,1.0,8,8,,,,717,717,717.0,BDMKMOGB_00787,IAAMHMBP_01633,PKFCGPHH_00732
glpF_1,glpF_1,Glycerol uptake facilitator protein,3,3,1.0,8,7,,,,720,720,720.0,BDMKMOGB_00327,IAAMHMBP_01549,PKFCGPHH_01568
recF,recF,DNA replication and repair protein RecF,3,3,1.0,8,6,,,,1125,1125,1125.0,BDMKMOGB_00305,IAAMHMBP_01593,PKFCGPHH_01535
uvrB_2,uvrB_2,UvrABC system protein B,3,3,1.0,8,5,,,,2811,2811,2811.0,BDMKMOGB_00322,IAAMHMBP_01554,PKFCGPHH_01563
dnaN,dnaN,Beta sliding clamp,3,3,1.0,8,4,,,,1131,1131,1131.0,BDMKMOGB_00307,IAAMHMBP_01595,PKFCGPHH_01533
yydK,yydK,putative HTH-type transcriptional regulator YydK,3,3,1.0,8,3,,,,732,732,732.0,BDMKMOGB_01256,IAAMHMBP_01564,PKFCGPHH_01553
group_181,,hypothetical protein,3,3,1.0,8,2,,,,402,402,402.0,BDMKMOGB_00262,IAAMHMBP_01647,PKFCGPHH_00529
metB,metB,Cystathionine gamma-synthase,3,3,1.0,8,1,,,,1143,1143,1143.0,BDMKMOGB_00320,IAAMHMBP_01556,PKFCGPHH_01561
def,def,Peptide deformylase,3,3,1.0,7,23,,,,411,411,411.0,BDMKMOGB_00238,IAAMHMBP_00273,PKFCGPHH_00348
ecsA,ecsA,ABC-type transporter ATP-binding protein EcsA,3,3,1.0,7,22,,,,744,744,744.0,BDMKMOGB_00255,IAAMHMBP_00256,PKFCGPHH_00331
fba,fba,Fructose-bisphosphate aldolase,3,3,1.0,7,21,,,,912,912,912.0,BDMKMOGB_00245,IAAMHMBP_00266,PKFCGPHH_00341
prsA,prsA,Foldase protein PrsA,3,3,1.0,7,20,,,,915,915,915.0,BDMKMOGB_00252,IAAMHMBP_00259,PKFCGPHH_00334
group_180,,hypothetical protein,3,3,1.0,7,19,,,,1179,1179,1179.0,BDMKMOGB_00256,IAAMHMBP_00255,PKFCGPHH_00330
group_179,,hypothetical protein,3,3,1.0,7,18,,,,354,354,354.0,BDMKMOGB_00253,IAAMHMBP_00258,PKFCGPHH_00333
pbp2a,pbp2a,Penicillin-binding protein 2a,3,3,1.0,7,17,,,,2058,2058,2058.0,BDMKMOGB_00247,IAAMHMBP_00264,PKFCGPHH_00339
nnrD,nnrD,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,3,3,1.0,7,16,,,,846,846,846.0,BDMKMOGB_00242,IAAMHMBP_00269,PKFCGPHH_00344
hit,hit,Protein hit,3,3,1.0,7,15,,,,432,432,432.0,BDMKMOGB_00254,IAAMHMBP_00257,PKFCGPHH_00332
group_178,,hypothetical protein,3,3,1.0,7,14,,,,363,363,363.0,BDMKMOGB_00248,IAAMHMBP_00263,PKFCGPHH_00338
group_177,,hypothetical protein,3,3,1.0,7,13,,,,528,528,528.0,BDMKMOGB_00260,IAAMHMBP_00251,PKFCGPHH_00326
ppsA,ppsA,Phosphoenolpyruvate synthase,3,3,1.0,7,12,,,,2385,2385,2385.0,BDMKMOGB_00237,IAAMHMBP_00274,PKFCGPHH_00349
argS,argS,Arginine--tRNA ligase,3,3,1.0,7,11,,,,1677,1677,1677.0,BDMKMOGB_00244,IAAMHMBP_00267,PKFCGPHH_00342
yhaO,yhaO,putative metallophosphoesterase YhaO,3,3,1.0,7,10,,,,1224,1224,1224.0,BDMKMOGB_00249,IAAMHMBP_00262,PKFCGPHH_00337
group_176,,hypothetical protein,3,3,1.0,7,9,,,,864,864,864.0,BDMKMOGB_00246,IAAMHMBP_00265,PKFCGPHH_00340
group_175,,hypothetical protein,3,3,1.0,7,8,,,,2418,2418,2418.0,BDMKMOGB_00250,IAAMHMBP_00261,PKFCGPHH_00336
group_174,,hypothetical protein,3,3,1.0,7,7,,,,1713,1713,1713.0,BDMKMOGB_00239,IAAMHMBP_00272,PKFCGPHH_00347
yhaM,yhaM,3'-5' exoribonuclease YhaM,3,3,1.0,7,6,,,,975,975,975.0,BDMKMOGB_00251,IAAMHMBP_00260,PKFCGPHH_00335
ytpP,ytpP,Thioredoxin-like protein YtpP,3,3,1.0,7,5,,,,321,321,321.0,BDMKMOGB_00258,IAAMHMBP_00253,PKFCGPHH_00328
